,K02,,,K14,,,K24,,,WSB,,,BCC,,,K17,,,EDW,,,STC,,,FIT,,,OVD,,,FFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra
Date,S01:Ch1,S01:Ch2,S01:Ch3,S02:Ch1,S02:Ch2,S02:Ch3,S03:Ch1,S03:Ch2,S03:Ch3,S04:Ch1,S04:Ch2,S04:Ch3,S05:Ch1,S05:Ch2,S05:Ch3,S06:Ch1,S06:Ch2,S06:Ch3,S07:Ch1,S07:Ch2,S07:Ch3,S08:Ch1,S08:Ch2,S08:Ch3,S09:Ch1,S09:Ch2,S09:Ch3,S10:Ch1,S10:Ch2,S10:Ch3,S11:Ch1,S11:Ch2,S11:Ch3,S12:Ch1,S12:Ch2,S12:Ch3,S13:Ch1,S13:Ch2,S13:Ch3,S14:Ch1,S14:Ch2,S14:Ch3,S15:Ch1,S15:Ch2,S15:Ch3,S16:Ch1,S16:Ch2,S16:Ch3,S17:Ch1,S17:Ch2,S17:Ch3,S18:Ch1,S18:Ch2,S18:Ch3,S19:Ch1,S19:Ch2,S19:Ch3,S20:Ch1,S20:Ch2,S20:Ch3,Line
0,10,1200,10,10,1200,20,10,1200,10,10,1200,20,10,1200,10,10,1200,20,10,1200,10,10,1200,20,10,1200,10,10,1200,10,10,1200,10,10,1200,20,10,1200,10,10,1200,20,10,1200,10,10,1200,20,1,1,1,1,1,1,1,1,1,1,1,1,1
20100711,NaN,NaN,NaN,NaN,NaN,NaN,14.8,NaN,10.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100712,10.33,1245.1,9.66,20.26,1159.7,10.08,14.14,1307.5,10.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100713,NaN,NaN,NaN,20.54,1157.1,10.12,14.15,1202.4,9.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100801,10.19,1327,9.92,20.19,1096.5,10.06,16.66,1350.4,11.26,NaN,1037.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100806,10.84,NaN,9.88,19.99,1092.7,9.99,14.52,1368.9,11.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100815,10,1298.1,9.81,19.68,1143.6,10.17,NaN,NaN,NaN,20.31,NaN,7.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.59,NaN,7.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20100818,10.33,1324.4,9.85,NaN,NaN,NaN,NaN,NaN,NaN,20.28,NaN,7.45,20.38,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20110801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7849,1200,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20110808,19.439,1222.53,10.61488,19.613,1231.18,9.630653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.132,1259.75,10.17555,18.95427,1815.522383,8.4865,18.50048,540.6217352,8.5377,17.86789,411.8335473,8.168,9.829,525.582469,8.461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
20110814,19.494,1309.1,9.898,19.323,1305.2,10.108,18.39,1415.9,10.84,NaN,NaN,NaN,18.679,1380.5,18.56,18.635,1219.3,10.175,18.9,1861.4,8.362,19.939,611.8,9.021,17.809,433.8,8.138,9.607,594,8.451,18.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
